Status of existing checking account;Duration in month;Credit history;Purpose;Credit amount;Savings account/bonds;Present employment since;Installment rate in percentage of disposable income;Personal status and sex;Other debtors / guarantors;Present residence since;Property;Age in years;Other installment plans;Housing;Number of existing credits at this bank;Job;Number of people being liable to provide maintenance for;Telephone;foreign worker;Flag
0 <= ... < 200 DM;24.0;existing credits paid back duly till now;car (used);12579.0;... < 100 DM;.. >= 7 years;4.0;female : divorced/separated/married;none;2.0;unknown / no property;44.0;none;for free;1.0;management/ self-employed/ highly qualified employee/ officer;1.0;yes, registered under the customers name;yes;1
no checking account;24.0;existing credits paid back duly till now;radio/television;3430.0;500 <= ... < 1000 DM;.. >= 7 years;3.0;male : single;none;2.0;car or other;31.0;none;own;1.0;skilled employee / official;2.0;yes, registered under the customers name;yes;0
no checking account;9.0;critical account/ other credits existing (not at this bank);car (new);2134.0;... < 100 DM;1 <= ... < 4 years;4.0;male : single;none;4.0;car or other;48.0;none;own;3.0;skilled employee / official;1.0;yes, registered under the customers name;yes;0
... < 0 DM;6.0;existing credits paid back duly till now;radio/television;2647.0;500 <= ... < 1000 DM;1 <= ... < 4 years;2.0;male : single;none;3.0;real estate;44.0;none;rent;1.0;skilled employee / official;2.0;none;yes;0
... < 0 DM;10.0;critical account/ other credits existing (not at this bank);car (new);2241.0;... < 100 DM;... < 1 year;1.0;male : single;none;3.0;real estate;48.0;none;rent;2.0;unskilled - resident;2.0;none;no;0
0 <= ... < 200 DM;12.0;critical account/ other credits existing (not at this bank);car (used);1804.0;100 <= ... < 500 DM;... < 1 year;3.0;male : single;none;4.0; building society savings agreement/ life insurance;44.0;none;own;1.0;skilled employee / official;1.0;none;yes;0
no checking account;10.0;critical account/ other credits existing (not at this bank);furniture/equipment;2069.0;unknown/ no savings account;1 <= ... < 4 years;2.0;male : married/widowed;none;1.0;car or other;26.0;none;own;2.0;skilled employee / official;1.0;none;no;0
... < 0 DM;6.0;existing credits paid back duly till now;furniture/equipment;1374.0;... < 100 DM;1 <= ... < 4 years;1.0;male : single;none;2.0;real estate;36.0;bank;own;1.0;unskilled - resident;1.0;yes, registered under the customers name;yes;0
no checking account;6.0;no credits taken/ all credits paid back duly;radio/television;426.0;... < 100 DM;.. >= 7 years;4.0;male : married/widowed;none;4.0;car or other;39.0;none;own;1.0;unskilled - resident;1.0;none;yes;0
... >= 200 DM / salary assignments for at least 1 year;12.0;all credits at this bank paid back duly;radio/television;409.0;.. >= 1000 DM;1 <= ... < 4 years;3.0;female : divorced/separated/married;none;3.0;real estate;42.0;none;rent;2.0;skilled employee / official;1.0;none;yes;0
0 <= ... < 200 DM;7.0;existing credits paid back duly till now;radio/television;2415.0;... < 100 DM;1 <= ... < 4 years;3.0;male : single;guarantor;2.0;real estate;34.0;none;own;1.0;skilled employee / official;1.0;none;yes;0
... < 0 DM;60.0;delay in paying off in the past;business;6836.0;... < 100 DM;.. >= 7 years;3.0;male : single;none;4.0;unknown / no property;63.0;none;own;2.0;skilled employee / official;1.0;yes, registered under the customers name;yes;1
0 <= ... < 200 DM;18.0;existing credits paid back duly till now;business;1913.0;.. >= 1000 DM;... < 1 year;3.0;male : married/widowed;none;3.0;real estate;36.0;bank;own;1.0;skilled employee / official;1.0;yes, registered under the customers name;yes;0
... < 0 DM;24.0;existing credits paid back duly till now;furniture/equipment;4020.0;... < 100 DM;1 <= ... < 4 years;2.0;male : single;none;2.0;car or other;27.0;stores;own;1.0;skilled employee / official;1.0;none;yes;0
0 <= ... < 200 DM;18.0;existing credits paid back duly till now;car (new);5866.0;100 <= ... < 500 DM;1 <= ... < 4 years;2.0;male : single;none;2.0;car or other;30.0;none;own;2.0;skilled employee / official;1.0;yes, registered under the customers name;yes;0
no checking account;12.0;critical account/ other credits existing (not at this bank);business;1264.0;unknown/ no savings account;.. >= 7 years;4.0;male : single;none;4.0;unknown / no property;57.0;none;rent;1.0;unskilled - resident;1.0;none;yes;0
... >= 200 DM / salary assignments for at least 1 year;12.0;existing credits paid back duly till now;furniture/equipment;1474.0;... < 100 DM;... < 1 year;4.0;female : divorced/separated/married;none;1.0; building society savings agreement/ life insurance;33.0;bank;own;1.0;management/ self-employed/ highly qualified employee/ officer;1.0;yes, registered under the customers name;yes;0
0 <= ... < 200 DM;45.0;critical account/ other credits existing (not at this bank);radio/television;4746.0;... < 100 DM;... < 1 year;4.0;male : single;none;2.0; building society savings agreement/ life insurance;25.0;none;own;2.0;unskilled - resident;1.0;none;yes;1
no checking account;48.0;critical account/ other credits existing (not at this bank);education;6110.0;... < 100 DM;1 <= ... < 4 years;1.0;male : single;none;3.0;unknown / no property;31.0;bank;for free;1.0;skilled employee / official;1.0;yes, registered under the customers name;yes;0
... >= 200 DM / salary assignments for at least 1 year;18.0;existing credits paid back duly till now;radio/television;2100.0;... < 100 DM;1 <= ... < 4 years;4.0;male : single;co-applicant;2.0;real estate;37.0;stores;own;1.0;skilled employee / official;1.0;none;yes;1
... >= 200 DM / salary assignments for at least 1 year;10.0;existing credits paid back duly till now;domestic appliances;1225.0;... < 100 DM;1 <= ... < 4 years;2.0;male : single;none;2.0;car or other;37.0;none;own;1.0;skilled employee / official;1.0;yes, registered under the customers name;yes;0
0 <= ... < 200 DM;9.0;existing credits paid back duly till now;radio/television;458.0;... < 100 DM;1 <= ... < 4 years;4.0;male : single;none;3.0;real estate;24.0;none;own;1.0;skilled employee / official;1.0;none;yes;0
no checking account;30.0;existing credits paid back duly till now;radio/television;2333.0;500 <= ... < 1000 DM;.. >= 7 years;4.0;male : single;none;2.0;car or other;30.0;bank;own;1.0;management/ self-employed/ highly qualified employee/ officer;1.0;none;yes;0
0 <= ... < 200 DM;12.0;existing credits paid back duly till now;radio/television;1158.0;500 <= ... < 1000 DM;1 <= ... < 4 years;3.0;male : divorced/separated;none;1.0;car or other;26.0;none;own;1.0;skilled employee / official;1.0;yes, registered under the customers name;yes;0
0 <= ... < 200 DM;18.0;delay in paying off in the past;repairs;6204.0;... < 100 DM;1 <= ... < 4 years;2.0;male : single;none;4.0;real estate;44.0;none;own;1.0;unskilled - resident;2.0;yes, registered under the customers name;yes;0
... < 0 DM;30.0;critical account/ other credits existing (not at this bank);car (used);6187.0;100 <= ... < 500 DM;4 <= ... < 7 years;1.0;male : married/widowed;none;4.0;car or other;24.0;none;rent;2.0;skilled employee / official;1.0;none;yes;0
... < 0 DM;48.0;critical account/ other credits existing (not at this bank);car (used);6143.0;... < 100 DM;.. >= 7 years;4.0;female : divorced/separated/married;none;4.0;unknown / no property;58.0;stores;for free;2.0;unskilled - resident;1.0;none;yes;1
no checking account;11.0;critical account/ other credits existing (not at this bank);car (new);1393.0;... < 100 DM;... < 1 year;4.0;female : divorced/separated/married;none;4.0;car or other;35.0;none;own;2.0;management/ self-employed/ highly qualified employee/ officer;1.0;none;yes;0
no checking account;36.0;existing credits paid back duly till now;radio/television;2299.0;500 <= ... < 1000 DM;.. >= 7 years;4.0;male : single;none;4.0;car or other;39.0;none;own;1.0;skilled employee / official;1.0;none;yes;0
... < 0 DM;6.0;existing credits paid back duly till now;car (used);1352.0;500 <= ... < 1000 DM;unemployed;1.0;female : divorced/separated/married;none;2.0; building society savings agreement/ life insurance;23.0;none;rent;1.0;unemployed/ unskilled - non-resident;1.0;yes, registered under the customers name;yes;0
no checking account;11.0;critical account/ other credits existing (not at this bank);car (new);7228.0;... < 100 DM;1 <= ... < 4 years;1.0;male : single;none;4.0; building society savings agreement/ life insurance;39.0;none;own;2.0;unskilled - resident;1.0;none;yes;0
no checking account;12.0;existing credits paid back duly till now;radio/television;2073.0;100 <= ... < 500 DM;1 <= ... < 4 years;4.0;female : divorced/separated/married;co-applicant;2.0;real estate;28.0;none;own;1.0;skilled employee / official;1.0;none;yes;0
0 <= ... < 200 DM;24.0;delay in paying off in the past;furniture/equipment;2333.0;unknown/ no savings account;... < 1 year;4.0;male : single;none;2.0; building society savings agreement/ life insurance;29.0;bank;own;1.0;unskilled - resident;1.0;none;yes;0
0 <= ... < 200 DM;27.0;delay in paying off in the past;car (used);5965.0;... < 100 DM;.. >= 7 years;1.0;male : single;none;2.0;car or other;30.0;none;own;2.0;management/ self-employed/ highly qualified employee/ officer;1.0;yes, registered under the customers name;yes;0
no checking account;12.0;existing credits paid back duly till now;radio/television;1262.0;... < 100 DM;1 <= ... < 4 years;3.0;male : single;none;2.0;car or other;25.0;none;own;1.0;skilled employee / official;1.0;none;yes;0
no checking account;18.0;existing credits paid back duly till now;car (used);3378.0;unknown/ no savings account;1 <= ... < 4 years;2.0;male : single;none;1.0; building society savings agreement/ life insurance;31.0;none;own;1.0;skilled employee / official;1.0;yes, registered under the customers name;yes;0
0 <= ... < 200 DM;36.0;delay in paying off in the past;car (new);2225.0;... < 100 DM;.. >= 7 years;4.0;male : single;none;4.0;unknown / no property;57.0;bank;for free;2.0;skilled employee / official;1.0;yes, registered under the customers name;yes;1
no checking account;6.0;all credits at this bank paid back duly;car (new);783.0;unknown/ no savings account;1 <= ... < 4 years;1.0;male : single;guarantor;2.0;real estate;26.0;stores;own;1.0;unskilled - resident;2.0;none;yes;0
0 <= ... < 200 DM;12.0;existing credits paid back duly till now;radio/television;6468.0;unknown/ no savings account;unemployed;2.0;male : single;none;1.0;unknown / no property;52.0;none;own;1.0;management/ self-employed/ highly qualified employee/ officer;1.0;yes, registered under the customers name;yes;1
no checking account;36.0;critical account/ other credits existing (not at this bank);radio/television;9566.0;... < 100 DM;1 <= ... < 4 years;2.0;female : divorced/separated/married;none;2.0;car or other;31.0;stores;own;2.0;skilled employee / official;1.0;none;yes;0
... >= 200 DM / salary assignments for at least 1 year;18.0;existing credits paid back duly till now;car (new);1961.0;... < 100 DM;.. >= 7 years;3.0;female : divorced/separated/married;none;2.0;car or other;23.0;none;own;1.0;management/ self-employed/ highly qualified employee/ officer;1.0;none;yes;0
... < 0 DM;36.0;critical account/ other credits existing (not at this bank);furniture/equipment;6229.0;... < 100 DM;... < 1 year;4.0;female : divorced/separated/married;co-applicant;4.0;unknown / no property;23.0;none;rent;2.0;unskilled - resident;1.0;yes, registered under the customers name;yes;1
0 <= ... < 200 DM;9.0;existing credits paid back duly till now;business;1391.0;... < 100 DM;1 <= ... < 4 years;2.0;male : married/widowed;none;1.0;real estate;27.0;bank;own;1.0;skilled employee / official;1.0;yes, registered under the customers name;yes;0
0 <= ... < 200 DM;15.0;critical account/ other credits existing (not at this bank);radio/television;1537.0;unknown/ no savings account;.. >= 7 years;4.0;male : single;guarantor;4.0;real estate;50.0;none;own;2.0;skilled employee / official;1.0;yes, registered under the customers name;yes;0
0 <= ... < 200 DM;36.0;no credits taken/ all credits paid back duly;business;1953.0;... < 100 DM;.. >= 7 years;4.0;male : single;none;4.0;unknown / no property;61.0;none;for free;1.0;management/ self-employed/ highly qualified employee/ officer;1.0;yes, registered under the customers name;yes;1
0 <= ... < 200 DM;48.0;no credits taken/ all credits paid back duly;business;14421.0;... < 100 DM;1 <= ... < 4 years;2.0;male : single;none;2.0;car or other;25.0;none;own;1.0;skilled employee / official;1.0;yes, registered under the customers name;yes;1
no checking account;24.0;existing credits paid back duly till now;radio/television;3181.0;... < 100 DM;... < 1 year;4.0;female : divorced/separated/married;none;4.0; building society savings agreement/ life insurance;26.0;none;own;1.0;skilled employee / official;1.0;yes, registered under the customers name;yes;0
no checking account;27.0;existing credits paid back duly till now;repairs;5190.0;unknown/ no savings account;.. >= 7 years;4.0;male : single;none;4.0; building society savings agreement/ life insurance;48.0;none;own;4.0;skilled employee / official;2.0;yes, registered under the customers name;yes;0
no checking account;12.0;existing credits paid back duly till now;radio/television;2171.0;... < 100 DM;... < 1 year;2.0;female : divorced/separated/married;none;2.0;car or other;29.0;bank;own;1.0;skilled employee / official;1.0;none;yes;0
0 <= ... < 200 DM;12.0;existing credits paid back duly till now;car (new);1007.0;.. >= 1000 DM;1 <= ... < 4 years;4.0;male : married/widowed;none;1.0;real estate;22.0;none;own;1.0;skilled employee / official;1.0;none;yes;0
no checking account;36.0;existing credits paid back duly till now;education;1819.0;... < 100 DM;1 <= ... < 4 years;4.0;male : single;none;4.0;unknown / no property;37.0;stores;for free;1.0;skilled employee / official;1.0;yes, registered under the customers name;yes;1
no checking account;36.0;existing credits paid back duly till now;radio/television;2394.0;unknown/ no savings account;1 <= ... < 4 years;4.0;female : divorced/separated/married;none;4.0;car or other;25.0;none;own;1.0;skilled employee / official;1.0;none;yes;0
no checking account;36.0;existing credits paid back duly till now;car (used);8133.0;... < 100 DM;1 <= ... < 4 years;1.0;female : divorced/separated/married;none;2.0; building society savings agreement/ life insurance;30.0;bank;own;1.0;skilled employee / official;1.0;none;yes;0
no checking account;7.0;critical account/ other credits existing (not at this bank);radio/television;730.0;unknown/ no savings account;.. >= 7 years;4.0;male : single;none;2.0; building society savings agreement/ life insurance;46.0;none;rent;2.0;unskilled - resident;1.0;yes, registered under the customers name;yes;0
... < 0 DM;8.0;critical account/ other credits existing (not at this bank);others;1164.0;... < 100 DM;.. >= 7 years;3.0;male : single;none;4.0;unknown / no property;51.0;bank;for free;2.0;management/ self-employed/ highly qualified employee/ officer;2.0;yes, registered under the customers name;yes;0
0 <= ... < 200 DM;42.0;critical account/ other credits existing (not at this bank);business;5954.0;... < 100 DM;4 <= ... < 7 years;2.0;female : divorced/separated/married;none;1.0;real estate;41.0;bank;own;2.0;unskilled - resident;1.0;none;yes;0
... < 0 DM;36.0;existing credits paid back duly till now;education;1977.0;unknown/ no savings account;.. >= 7 years;4.0;male : single;none;4.0;unknown / no property;40.0;none;own;1.0;management/ self-employed/ highly qualified employee/ officer;1.0;yes, registered under the customers name;yes;1
... < 0 DM;12.0;critical account/ other credits existing (not at this bank);car (used);1526.0;... < 100 DM;.. >= 7 years;4.0;male : single;none;4.0;unknown / no property;66.0;none;for free;2.0;management/ self-employed/ highly qualified employee/ officer;1.0;none;yes;0
... < 0 DM;42.0;existing credits paid back duly till now;radio/television;3965.0;... < 100 DM;... < 1 year;4.0;male : single;none;3.0;car or other;34.0;none;own;1.0;skilled employee / official;1.0;none;yes;1
0 <= ... < 200 DM;11.0;delay in paying off in the past;radio/television;4771.0;... < 100 DM;4 <= ... < 7 years;2.0;male : single;none;4.0; building society savings agreement/ life insurance;51.0;none;own;1.0;skilled employee / official;1.0;none;yes;0
no checking account;54.0;no credits taken/ all credits paid back duly;car (used);9436.0;unknown/ no savings account;1 <= ... < 4 years;2.0;male : single;none;2.0; building society savings agreement/ life insurance;39.0;none;own;1.0;unskilled - resident;2.0;none;yes;0
0 <= ... < 200 DM;30.0;existing credits paid back duly till now;furniture/equipment;3832.0;... < 100 DM;... < 1 year;2.0;male : married/widowed;none;1.0; building society savings agreement/ life insurance;22.0;none;own;1.0;skilled employee / official;1.0;none;yes;0
no checking account;24.0;existing credits paid back duly till now;radio/television;5943.0;unknown/ no savings account;... < 1 year;1.0;female : divorced/separated/married;none;1.0;car or other;44.0;none;own;2.0;skilled employee / official;1.0;yes, registered under the customers name;yes;1
no checking account;15.0;existing credits paid back duly till now;radio/television;1213.0;500 <= ... < 1000 DM;.. >= 7 years;4.0;male : single;none;3.0; building society savings agreement/ life insurance;47.0;stores;own;1.0;skilled employee / official;1.0;yes, registered under the customers name;yes;0
no checking account;18.0;existing credits paid back duly till now;business;1568.0;100 <= ... < 500 DM;1 <= ... < 4 years;3.0;female : divorced/separated/married;none;4.0; building society savings agreement/ life insurance;24.0;none;rent;1.0;unskilled - resident;1.0;none;yes;0
... < 0 DM;24.0;existing credits paid back duly till now;others;1755.0;... < 100 DM;.. >= 7 years;4.0;female : divorced/separated/married;guarantor;4.0;real estate;58.0;none;own;1.0;unskilled - resident;1.0;yes, registered under the customers name;yes;0
... < 0 DM;10.0;existing credits paid back duly till now;radio/television;2315.0;... < 100 DM;.. >= 7 years;3.0;male : single;none;4.0;real estate;52.0;none;own;1.0;unskilled - resident;1.0;none;yes;0
no checking account;12.0;critical account/ other credits existing (not at this bank);business;1412.0;... < 100 DM;1 <= ... < 4 years;4.0;female : divorced/separated/married;guarantor;2.0;real estate;29.0;none;own;2.0;management/ self-employed/ highly qualified employee/ officer;1.0;yes, registered under the customers name;yes;0
0 <= ... < 200 DM;18.0;critical account/ other credits existing (not at this bank);furniture/equipment;1295.0;... < 100 DM;... < 1 year;4.0;female : divorced/separated/married;none;1.0; building society savings agreement/ life insurance;27.0;none;own;2.0;skilled employee / official;1.0;none;yes;0
0 <= ... < 200 DM;36.0;existing credits paid back duly till now;education;12612.0;100 <= ... < 500 DM;1 <= ... < 4 years;1.0;male : single;none;4.0;unknown / no property;47.0;none;for free;1.0;skilled employee / official;2.0;yes, registered under the customers name;yes;1
... < 0 DM;18.0;existing credits paid back duly till now;car (new);2249.0;100 <= ... < 500 DM;4 <= ... < 7 years;4.0;male : single;none;3.0;car or other;30.0;none;own;1.0;management/ self-employed/ highly qualified employee/ officer;2.0;yes, registered under the customers name;yes;0
... < 0 DM;12.0;no credits taken/ all credits paid back duly;repairs;1108.0;... < 100 DM;4 <= ... < 7 years;4.0;male : single;none;3.0;real estate;28.0;none;own;2.0;skilled employee / official;1.0;none;yes;1
no checking account;12.0;critical account/ other credits existing (not at this bank);radio/television;618.0;... < 100 DM;.. >= 7 years;4.0;male : single;none;4.0;real estate;56.0;none;own;1.0;skilled employee / official;1.0;none;yes;0
... < 0 DM;12.0;critical account/ other credits existing (not at this bank);car (used);1409.0;... < 100 DM;.. >= 7 years;4.0;male : single;none;3.0;real estate;54.0;none;own;1.0;skilled employee / official;1.0;none;yes;0
no checking account;12.0;critical account/ other credits existing (not at this bank);radio/television;797.0;unknown/ no savings account;.. >= 7 years;4.0;female : divorced/separated/married;none;3.0; building society savings agreement/ life insurance;33.0;bank;own;1.0;unskilled - resident;2.0;none;yes;1
... >= 200 DM / salary assignments for at least 1 year;24.0;critical account/ other credits existing (not at this bank);furniture/equipment;3617.0;unknown/ no savings account;.. >= 7 years;4.0;male : single;co-applicant;4.0;unknown / no property;20.0;none;rent;2.0;skilled employee / official;1.0;none;yes;0
0 <= ... < 200 DM;12.0;existing credits paid back duly till now;car (new);1318.0;.. >= 1000 DM;.. >= 7 years;4.0;male : single;none;4.0;real estate;54.0;none;own;1.0;skilled employee / official;1.0;yes, registered under the customers name;yes;0
0 <= ... < 200 DM;54.0;no credits taken/ all credits paid back duly;business;15945.0;... < 100 DM;... < 1 year;3.0;male : single;none;4.0;unknown / no property;58.0;none;rent;1.0;skilled employee / official;1.0;yes, registered under the customers name;yes;1
no checking account;12.0;critical account/ other credits existing (not at this bank);education;2012.0;unknown/ no savings account;4 <= ... < 7 years;4.0;female : divorced/separated/married;none;2.0;car or other;61.0;none;own;1.0;skilled employee / official;1.0;none;yes;0
0 <= ... < 200 DM;18.0;existing credits paid back duly till now;business;2622.0;100 <= ... < 500 DM;1 <= ... < 4 years;4.0;male : single;none;4.0;car or other;34.0;none;own;1.0;skilled employee / official;1.0;none;yes;0
0 <= ... < 200 DM;36.0;critical account/ other credits existing (not at this bank);radio/television;2337.0;... < 100 DM;.. >= 7 years;4.0;male : single;none;4.0;real estate;36.0;none;own;1.0;skilled employee / official;1.0;none;yes;0
0 <= ... < 200 DM;20.0;delay in paying off in the past;car (used);7057.0;unknown/ no savings account;4 <= ... < 7 years;3.0;male : single;none;4.0; building society savings agreement/ life insurance;36.0;bank;rent;2.0;management/ self-employed/ highly qualified employee/ officer;2.0;yes, registered under the customers name;yes;0
no checking account;24.0;existing credits paid back duly till now;car (new);1469.0;100 <= ... < 500 DM;.. >= 7 years;4.0;male : married/widowed;none;4.0;real estate;41.0;none;rent;1.0;unskilled - resident;1.0;none;yes;0
0 <= ... < 200 DM;36.0;existing credits paid back duly till now;radio/television;2323.0;... < 100 DM;4 <= ... < 7 years;4.0;male : single;none;4.0;car or other;24.0;none;rent;1.0;skilled employee / official;1.0;none;yes;0
no checking account;6.0;delay in paying off in the past;radio/television;932.0;... < 100 DM;1 <= ... < 4 years;3.0;female : divorced/separated/married;none;2.0;real estate;24.0;none;own;1.0;skilled employee / official;1.0;none;yes;0
0 <= ... < 200 DM;9.0;critical account/ other credits existing (not at this bank);furniture/equipment;1919.0;... < 100 DM;4 <= ... < 7 years;4.0;male : single;none;3.0;car or other;35.0;none;rent;1.0;skilled employee / official;1.0;yes, registered under the customers name;yes;0
no checking account;12.0;existing credits paid back duly till now;car (used);2445.0;unknown/ no savings account;... < 1 year;2.0;male : married/widowed;none;4.0;car or other;26.0;none;rent;1.0;skilled employee / official;1.0;yes, registered under the customers name;yes;0
0 <= ... < 200 DM;24.0;critical account/ other credits existing (not at this bank);others;11938.0;... < 100 DM;1 <= ... < 4 years;2.0;male : single;co-applicant;3.0;car or other;39.0;none;own;2.0;management/ self-employed/ highly qualified employee/ officer;2.0;yes, registered under the customers name;yes;1
no checking account;18.0;all credits at this bank paid back duly;car (new);6458.0;... < 100 DM;.. >= 7 years;2.0;male : single;none;4.0;unknown / no property;39.0;bank;own;2.0;management/ self-employed/ highly qualified employee/ officer;2.0;yes, registered under the customers name;yes;1
0 <= ... < 200 DM;12.0;existing credits paid back duly till now;car (new);6078.0;... < 100 DM;4 <= ... < 7 years;2.0;male : single;none;2.0;car or other;32.0;none;own;1.0;skilled employee / official;1.0;none;yes;0
... < 0 DM;24.0;existing credits paid back duly till now;furniture/equipment;7721.0;unknown/ no savings account;... < 1 year;1.0;female : divorced/separated/married;none;2.0; building society savings agreement/ life insurance;30.0;none;own;1.0;skilled employee / official;1.0;yes, registered under the customers name;no;0
0 <= ... < 200 DM;14.0;existing credits paid back duly till now;business;1410.0;500 <= ... < 1000 DM;.. >= 7 years;1.0;male : married/widowed;none;2.0;real estate;35.0;none;own;1.0;skilled employee / official;1.0;yes, registered under the customers name;yes;0
0 <= ... < 200 DM;6.0;delay in paying off in the past;business;1449.0;100 <= ... < 500 DM;.. >= 7 years;1.0;male : divorced/separated;none;2.0;car or other;31.0;bank;own;2.0;skilled employee / official;2.0;none;yes;0
... >= 200 DM / salary assignments for at least 1 year;15.0;existing credits paid back duly till now;education;392.0;... < 100 DM;... < 1 year;4.0;female : divorced/separated/married;none;4.0; building society savings agreement/ life insurance;23.0;none;rent;1.0;skilled employee / official;1.0;yes, registered under the customers name;yes;0
0 <= ... < 200 DM;18.0;existing credits paid back duly till now;car (new);6260.0;... < 100 DM;4 <= ... < 7 years;3.0;male : single;none;3.0;real estate;28.0;none;rent;1.0;unskilled - resident;1.0;none;yes;0
no checking account;36.0;critical account/ other credits existing (not at this bank);car (new);7855.0;... < 100 DM;1 <= ... < 4 years;4.0;female : divorced/separated/married;none;2.0;real estate;25.0;stores;own;2.0;skilled employee / official;1.0;yes, registered under the customers name;yes;1
... < 0 DM;12.0;existing credits paid back duly till now;radio/television;1680.0;500 <= ... < 1000 DM;.. >= 7 years;3.0;male : married/widowed;none;1.0;real estate;35.0;none;own;1.0;skilled employee / official;1.0;none;yes;0
no checking account;48.0;critical account/ other credits existing (not at this bank);radio/television;3578.0;unknown/ no savings account;.. >= 7 years;4.0;male : single;none;1.0;real estate;47.0;none;own;1.0;skilled employee / official;1.0;yes, registered under the customers name;yes;0
... < 0 DM;42.0;existing credits paid back duly till now;radio/television;7174.0;unknown/ no savings account;4 <= ... < 7 years;4.0;female : divorced/separated/married;none;3.0;car or other;30.0;none;own;1.0;management/ self-employed/ highly qualified employee/ officer;1.0;yes, registered under the customers name;yes;1
